date,code,close,pctChg,a20,a50
2018/3/30,sh.000300,3898.497,0.1142,4015.96665,4106.47844
2018/4/2,sh.000300,3886.918,-0.297,4009.4077,4099.71202
2018/4/3,sh.000300,3862.479,-0.6287,3999.20345,4091.79214
2018/4/4,sh.000300,3854.862,-0.1972,3990.1139,4083.92706
2018/4/9,sh.000300,3852.929,-0.0501,3978.88035,4075.55732
2018/4/10,sh.000300,3927.172,1.9269,3969.7957,4068.39286
2018/4/11,sh.000300,3938.343,0.2845,3960.32955,4060.42778
2018/4/12,sh.000300,3898.635,-1.0082,3950.69865,4050.74824
2018/4/13,sh.000300,3871.144,-0.7051,3940.58865,4040.37342
2018/4/16,sh.000300,3808.863,-1.6089,3926.2237,4029.2491
2018/4/17,sh.000300,3748.641,-1.5811,3910.83465,4016.59594
2018/4/18,sh.000300,3766.282,0.4706,3895.4364,4005.88122
2018/4/19,sh.000300,3811.843,1.2097,3882.14335,3996.99604
2018/4/20,sh.000300,3760.854,-1.3376,3867.13355,3986.69516
2018/4/23,sh.000300,3766.325,0.1455,3854.43235,3977.10372
2018/4/24,sh.000300,3843.488,2.0488,3851.36,3968.54884
2018/4/25,sh.000300,3828.701,-0.3847,3848.8004,3959.63994
2018/4/26,sh.000300,3755.494,-1.9121,3840.9117,3951.77212
2018/4/27,sh.000300,3756.876,0.0368,3836.61975,3945.8997
2018/5/2,sh.000300,3763.646,0.1802,3830.0996,3940.93168
2018/5/3,sh.000300,3793,0.7799,3824.82475,3939.97864
2018/5/4,sh.000300,3774.598,-0.4852,3819.20875,3937.66852
2018/5/7,sh.000300,3834.187,1.5787,3817.79415,3935.63962
2018/5/8,sh.000300,3878.676,1.1603,3818.98485,3933.87392
2018/5/9,sh.000300,3871.615,-0.182,3819.91915,3930.25156
2018/5/10,sh.000300,3893.056,0.5538,3818.21335,3926.69092
2018/5/11,sh.000300,3872.838,-0.5193,3814.9381,3921.77932
